wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 206 | Winner: -1 | Loss: 2.7509 | Steps: 36
Game 207 | Winner: 1 | Loss: 2.5355 | Steps: 35
Game 208 | Winner: -1 | Loss: 2.8308 | Steps: 32
Game 209 | Winner: 1 | Loss: 2.5115 | Steps: 33
Game 210 | Winner: -1 | Loss: 2.7028 | Steps: 34
Game 211 | Winner: 1 | Loss: 2.8572 | Steps: 35
Game 212 | Winner: 1 | Loss: 2.8960 | Steps: 29
Game 213 | Winner: -1 | Loss: 2.9996 | Steps: 32
Game 214 | Winner: -1 | Loss: 2.6237 | Steps: 30
Game 215 | Winner: -1 | Loss: 2.6968 | Steps: 36
Game 216 | Winner: -1 | Loss: 2.5436 | Steps: 36
Game 217 | Winner: 1 | Loss: 2.3892 | Steps: 33
Game 218 | Winner: 1 | Loss: 2.5344 | Steps: 31
Game 219 | Winner: 1 | Loss: 2.8376 | Steps: 33
Game 220 | Winner: -1 | Loss: 2.8419 | Steps: 32
Game 221 | Winner: -1 | Loss: 2.7444 | Steps: 34
Game 222 | Winner: -1 | Loss: 2.9385 | Steps: 34
Game 223 | Winner: 1 | Loss: 2.4947 | Steps: 33
Game 224 | Winner: 1 | Loss: 2.8470 | Steps: 33
Game 225 | Winner: -1 | Loss: 2.7523 | Steps: 34
Game 226 | Winner: 0 | Loss: 2.5934 | Steps: 36
Game 227 | Winner: -1 | Loss: 2.9379 | Steps: 36
Game 228 | Winner: 1 | Loss: 2.5325 | Steps: 35
Game 229 | Winner: -1 | Loss: 2.8827 | Steps: 36
Game 230 | Winner: -1 | Loss: 2.7573 | Steps: 36
Game 231 | Winner: -1 | Loss: 2.6513 | Steps: 34
Game 232 | Winner: -1 | Loss: 2.7063 | Steps: 32
Game 233 | Winner: 1 | Loss: 2.8199 | Steps: 33
